st2,stplc2,popden90,pov12590,Time1,Time2,Time3,Time4,cpden90,cpv12590,State,Poverty
36,3643082,1.10489893,19.06614876,5.765704155,6.004871845,6.368031502,6.310853958,0.21515093,4.910943258,0,0
36,3643335,6.060770512,12.23826504,5.3499856,5.226998806,5.768795967,6.00404501,5.171022512,-1.916940462,0,0
36,3643874,3.708824158,4.988223076,4.753662586,5.011117458,4.814476967,5.442734241,2.819076158,-9.166982424,0,0
36,3643962,0.406728119,20.41934776,5.23677969,6.265208244,5.625044346,5.778530121,-0.483019881,6.264142263,0,0
36,3644710,0.886229873,27.47809982,6.075129032,6.090529919,6.395497322,6.435198784,-0.003518127,13.32289432,0,0
36,3644787,3.323788643,2.593085051,4.518209457,4.473731041,5.028447151,4.473731041,2.434040643,-11.56212045,0,0
36,3644831,2.067915916,6.754849911,5.463629723,5.395598412,5.688710213,6.000897884,1.178167916,-7.400355589,0,0
36,3644842,1.613388538,4.246144772,5.2495327,5.322423935,5.344536781,5.462650299,0.723640538,-9.909060728,0,0
36,3645029,0.2387155,4.082238674,5.16513443,5.259401321,5.340266705,5.492153645,-0.6510325,-10.07296683,0,0
36,3645480,1.148564339,10.01633072,4.355137825,4.013103962,4.355137825,4.013103962,0.258816339,-4.138874781,0,0
36,3645722,0.115372673,6.681034565,4.395503044,5.068555832,4.447871208,4.796848774,-0.774375327,-7.474170935,0,0
36,3646019,1.019841671,20.93104362,4.361973763,4.362659931,4.219758987,4.541870117,0.130093671,6.775838125,0,0
36,3646162,0.812880754,5.424354076,4.55351162,4.55351162,5.808158398,5.903195381,-0.076867246,-8.730851424,0,0
36,3646360,2.434601068,14.65848064,4.918380737,5.541060925,5.461726189,4.867051125,1.544853068,0.503275144,0,0
36,3646415,0.801678658,20.353302,5.822005272,5.911129951,5.981583118,6.247720242,-0.088069342,6.198096502,0,0
36,3646536,0.523435593,5.89606142,4.759989738,5.454976082,5.892737389,6.028468132,-0.366312407,-8.25914408,0,0
36,3646998,0.830088496,10.50375175,5.317692757,5.284231186,5.349646091,5.349646091,-0.059659504,-3.651453745,0,0
36,3647042,1.883526921,17.72417641,6.112185478,6.174525261,6.24216032,6.515779018,0.993778921,3.568970907,0,0
36,3647823,1.304499745,17.40626144,5.69718647,5.731791973,5.840569496,6.119553566,0.414751745,3.251055944,0,0
36,3647988,0.75818181,6.627147198,6.112383842,6.268830299,6.297294617,6.335800171,-0.13156619,-7.528058302,0,0
36,3648142,0.770285726,5.461731911,4.337665558,4.680233002,4.137599945,5.225514412,-0.119462274,-8.693473589,0,0
36,3648153,0.141696408,10.8142004,4.647463799,4.591945648,4.415146828,5.338001728,-0.748051592,-3.341005099,0,0
36,3648175,0.664551198,25.43370438,6.608587742,6.816874981,6.834175587,7.164155006,-0.225196802,11.27849888,0,0
36,3648857,0.091650195,6.866359234,4.069776058,4.611661434,4.487771511,4.431324959,-0.798097805,-7.288846266,0,0
36,3648890,1.125,9.346412659,5.518467903,5.91638279,6.008664608,6.154932976,0.235252,-4.808792841,0,0
36,3648945,0.588614821,15.98705482,5.118120193,5.343287468,4.154737949,4.154737949,-0.301133179,1.831849325,0,0
36,3649011,0.565718651,6.177491188,4.915724754,5.026122093,4.891475677,5.272674084,-0.324029349,-7.977714312,0,0
36,3649121,5.914479256,16.00959587,6.526657581,6.427288055,6.410333157,6.468357563,5.024731256,1.854390371,0,0
36,3649506,0.710481584,11.05730438,5.101482868,5.759515762,5.504916668,5.791581631,-0.179266416,-3.097901118,0,0
